image,output,timestamp
,"{""label"": null, ""confidences"": null}",2025-03-01 17:45:25.082573
.gradio\flagged\image\218ec51f302059112077\download.jpeg,"{""label"": ""FIRE"", ""confidences"": null}",2025-03-01 17:49:16.469235
